,code,time,title,tenant_type,group,urgency1,urgency2,business,bug_type,reason
10,230725-00002599,2023-07-25 17:43:10,新奥本地物料编码：32005070000032，需要关闭序列号管理,私有化,E,严重,高,SN管理,数据清理,数据清理
11,230725-00002594,2023-07-25 15:43:09,【泰邦】生成方式为选择投料序列号时，投料工序中已开启替换成品序列号MRP下发任务时报错,SaaS,M,致命,紧急,SN管理,代码错误,替代料代码修改导致相关开关丢失
12,230725-00002587,2023-07-25 11:40:09,【江苏金韦尔】生产单打印预览与实际打印出来的单据不一致,SaaS,M,一般,中,X,无法复现,无法复现
13,230725-00002581,2023-07-25 11:00:22,【巨将】用户生产单：B-230516-005，计划用料： 10J.PK1159-HQL380，计划使用数量100个，已全部做备料出库 L-230718-405，目前查看，①生产单中计划用料处，备料出库数量是0，②库存查询中，列表处数量是100，但是实际进入详情查看是空白的未展示，麻烦查看下是哪里的问题呢,SaaS,M,致命,紧急,生产管理,代码错误,"需要备料多个时,只全部出库一个计划用料,然后撤销备料出库,此时备料任务状态有误,导致可以直接作废备料任务."
14,230725-00002573,2023-07-25 09:14:06,【巨将】用户生产单：B-230427-005，只有一道工序，开启了齐套消耗原料，计划生产200，物料已全部备齐，无欠料，但是现在显示工序可报工数量为74，麻烦查看下是哪里的问题呢,SaaS,M,严重,紧急,生产管理,代码错误,替代料需求，导致编辑生产单回写计划用料计划数量错误
15,230724-00002569,2023-07-24 19:02:50,【南京川木】销售出库未同步到标准应收单,SaaS,E,一般,中,X,代码错误,cps接口报错
16,230724-00002568,2023-07-24 17:54:01,【艾迪精密】本地部署，每日进度报表，点击链接字段会显示报错提示,断网部署,M,一般,中,生产管理,脏数据处理,数据未清理干净
17,230724-00002564,2023-07-24 15:41:56,【正和机械】新mrp运算卡了好几天了,SaaS,M,致命,紧急,MRP,环境运维,planning服务问题，重发后可以很快计算出来
18,230724-00002563,2023-07-24 15:41:11,【深圳市彩立德照明光电科技有限公司】-用户：宁凯，app点击生产任务-点击工序【固晶】，提示系统开小差，app版本5.5.86,SaaS,M,致命,紧急,生产管理,数据清理,"es脏数据,刷数据解决"
19,230724-00002559,2023-07-24 14:57:11,【兴顺筛选未派发任务报错】,SaaS,M,一般,中,车间计划,脏数据处理,"es插入与删除数据小概率错乱,导致存在了不该存在的数据.暂时修了数据"
20,230724-00002556,2023-07-24 14:23:32,【安徽省广德中鼎汽车工具有限公司】发货单已完成，但还是存在销售出库任务,SaaS,E,致命,紧急,发货单,代码错误,inventory调用coreplus发货出库确认接口超时，库存回滚，单据事务提交，两边数据不一致
21,230724-00002554,2023-07-24 13:03:53,[威盛]物料需求计划运算订单部分已下达生产单，运算开启在途数计算，还是跑出来生产计划,SaaS,M,致命,紧急,MRP,代码错误,某些边界场景下的分配逻辑有问题！
22,230724-00002552,2023-07-24 12:11:41,"【常州芸生箱包】-物料需求计划（新）已下达任务，且生产单和订单存在关联关系，物料开启的强占用分配，但是为什么在分配占用表中查看分配给了其它订单，比如订单：150276-10，中关联的生产单：001150276-10,,在分配占用表-强占用中显示的分配给其它订单150276-6",SaaS,M,致命,紧急,主生产计划,重复发现,代码错误，边界场景下的分配会存在问题；
23,230724-00002551,2023-07-24 11:49:40,【芜湖映日科技】-设备-报表统计-参数点检记录，日期2023年7月22日，设备点检：A21烧结炉，点击导出，提示导出失败,SaaS,CoreBI,致命,紧急,设备管理,代码错误,旧版corebi代码编写问题，代码格式化会造成这个问题
24,230724-00002549,2023-07-24 11:07:25,【江苏千页包装材料有限公司】生产单换料异常,SaaS,M,致命,紧急,生产管理,代码错误,未备料状态生产单换料逻辑错误
25,230724-00002548,2023-07-24 10:52:23,【兴顺高级车间计划500行分页报错】,SaaS,M,一般,中,车间计划,脏数据处理,"查询数量过大,需要细化查询条件,es插入与删除数据小概率错乱,导致存在了不该存在的数据.暂时修了数据"
26,230724-00002547,2023-07-24 10:45:31,【易华录】易华录本地环境，每日进度，装配车间当月实时派发任务无内容，实际生产单中，存在计划开始、结束时间在当月的数据,私有化,M,致命,紧急,生产管理,脏数据处理,应该是定时任务未执行，重新派发生产单后，重新计算后有数据
27,230723-00002546,2023-07-23 17:22:03,【泰邦】SN工序报工报错，撤回提示有检验记录。删除对应的检验记录提示SN已消耗,SaaS,M,致命,紧急,SN管理,代码错误,"取消sn流转的查询处理错误,导致后续判断错误,导致意外报错"
28,230722-00002544,2023-07-22 20:36:05,【兴顺高级车间计划按任务单调整资源修改时间无效】,SaaS,前端,一般,中,车间计划,代码错误,前端字段取值错误     无法查看代码提交记录
29,230722-00002543,2023-07-22 18:02:27,【泰邦】SN备料出库后，后工单扫码投料提示无SN码,SaaS,M,致命,紧急,SN管理,代码错误,先扫了一个计划用料，然后选择生成序列号，扫了另一个SN，结果耗的是第一个SN，但是流转的是第二个SN
30,230722-00002540,2023-07-22 17:28:47,【兴顺】物料需求计划运行超过30分钟,SaaS,M,一般,中,MRP,环境运维,初步排查是Redis服务连接超时导致，目前已恢复正常，可以很快运行出来
31,230722-00002539,2023-07-22 16:56:49,【欧权】生产入库之后，在出入库历史查找不到，不见了,SaaS,E,严重,高,库存,代码错误,redis出现错误，导致confirm生成出入库历史失败，造成inventory事务回滚
32,230722-00002538,2023-07-22 16:22:40,【欧权】这两天经常出现，报错‘报工失败，系统繁忙，请稍后再试’,SaaS,M,严重,高,生产管理,发布,应该是最近项目发布较为频繁项目重启导致，后续可以再观察观察
33,230722-00002537,2023-07-22 12:24:03,【英凯模】英凯模本地环境，设备看板修改后，保存，无响应,私有化,前端,致命,紧急,看板,代码错误,代码很老  看板背景颜色加了校验但老代码没给默认值
34,230722-00002534,2023-07-22 11:33:58,【浙江肯特汽车零部件有限公司】用户订单：O-230711-002，要修改物料价格，订单已发货，后续进行作废了发货单并删除了发货单，此时查看订单状态依旧是进行中状态，并无【编辑】【撤销】【重审】按钮，麻烦查看下是哪里的问题呢,SaaS,E,严重,紧急,订单,代码错误,作废发货单没有重新计算订单状态
35,230722-00002531,2023-07-22 10:52:50,【东莞市皖太电子科技有限公司】用户生产单：B-230613-016，操作在制品入库提示开小差，麻烦查看下是哪里的问题呢,SaaS,M,严重,紧急,生产管理,重复发现,重复bug，在此单据中统一处理：https://c2.xinheyun.com/metadata/business-detail/template_b70Q0?id=64afb623a6b35606addd430b
36,230722-00002526,2023-07-22 09:55:30,【东莞市皖太电子科技有限公司】用户创建订单时选择物料：WT13006-32-226FH，物料是可配置物料+多版本BOM，点击选择BOM版本时提示，内部错误，麻烦查看下是哪里的问题呢,SaaS,E,致命,紧急,物料,代码错误,创建sku接口没返回rootItemIdOriginal。创建sku锁改为spu+sku规格需求引起的
37,230722-00002524,2023-07-22 09:06:16,[安徽威盛]生产报表物料消耗明细报表导出报错,SaaS,CoreBI,严重,高,生产管理,代码错误,旧版的corebi代码编写问题，代码格式化后造成这个bug，重新优化代码
38,230722-00002525,2023-07-22 09:06:01,【东莞市皖太电子科技有限公司】-委外采购单搜索，提示服务器内部错误,SaaS,E,致命,紧急,委外管理,代码错误,昨天清理的转出数据没清理完整
39,230721-00002521,2023-07-21 17:00:25,【东莞市皖太电子科技有限公司】-委外采购单：P-230721-003，作废当前单据中库存转出记录的后三条记录，点击作废提示，数据异常，如截图，用户想要作废当前申请，应该如何操作,SaaS,E,致命,紧急,委外管理,无法复现,暂未复现，修复数据
40,230721-00002517,2023-07-21 15:04:57,【沃冠】计划-齐套分析，日期为2023年7月21号-添加生产单状态为：未开始和未备料的单据，大概生产单有五六百条，导出分析结果提示失败,SaaS,M,致命,紧急,生产管理,代码错误,代码bug，未考虑到查询数据为空的情况，应该直接返回不应该继续查询生产单。
41,230721-00002514,2023-07-21 13:29:53,【沃冠】-车间计划-当前排产-按资源-注塑工作中心筛选后导出，提示“服务器内部错误”,SaaS,M,致命,紧急,车间计划,环境运维,nacos改造后，manufacture升级，导致直接通过jar调用dfs项目的导出接口无法访问dfs服务。
42,230721-00002513,2023-07-21 13:27:02,【中核二三】,断网部署,CorePaaS,致命,紧急,设备管理,环境运维,1：关联表单字段不存在问题，商品包不完整，2：第一次下发的表单未创建集合
43,230721-00002510,2023-07-21 11:32:46,【德州敏驰】-操作库存任务：生产入库时在物料行添加备注，但是未显示在出入库历史单据的物料行备注中，测试系统已复现,SaaS,M,致命,紧急,库存,代码错误,"代码bug,行上的备注和附件未能正确传参进行后续出入库保存导致。"
44,230721-00002506,2023-07-21 10:37:43,【溢达】生产单B-230720-062提交时间是17：06，物料创建时间是：17：03，物料的图纸链接未自动带入生产单中，当前数据是用户手动编辑添加的，帮忙看下什么问题，为什么没有自动同步,SaaS,项目组,致命,紧急,生产管理,代码错误,领域nacos改造的时候没有升级包导致找不到服务
45,230721-00002505,2023-07-21 09:53:24,【东莞市皖太电子科技有限公司】——撤销出库记录没有回到库存任务，发货单号：I-230717-007，物料：WT14206-16-161T,SaaS,E,严重,高,订单,数据清理,"销售出库撤销后，关联的发货单会删除原有任务，同时发货单进行重审操作，后续发货单审核通过后库存任务会重现。但是当前重审操作异常，导致任务被删了，但又没办法重建任务"
46,230721-00002502,2023-07-21 09:24:40,【江苏千页包装材料有限公司】还料选择批次后无法确定,SaaS,前端,致命,紧急,生产管理,代码错误,前端代码问题，修改tableScene类型引入的
47,230721-00002499,2023-07-21 08:50:04,【沃冠】【丰达】【汽车水箱】【敏驰】【新星船舶】-库存任务-备料/领料出库app操作提示参数错误,SaaS,M,致命,紧急,库存,重复发现,更新bughttps://c2.xinheyun.com/metadata/business-detail/template_b70Q0?id=64b7961883022f4eaf0c6c83，app版本未兼容导致，已回滚
48,230720-00002493,2023-07-20 18:34:33,成都赛飞斯，【存货核算】模块，零成本入库更新和本期出入库单打开报错，‘【ERR00E01C000】 系统开小差了’,SaaS,CorePaaS,严重,高,财务,代码错误,metadata-app服务去除nacos代码调整有遗漏导致调用coreplus报错
49,230720-00002492,2023-07-20 18:09:23,【新奥本地】出入库历史L-230720-150撤销，报错“出入库关联信息不存在”,私有化,M,严重,紧急,生产管理,脏数据处理,库存代码版本较低，为生产库存对账前的代码，车间仓数据不稳定，会导致车间仓出入库历史丢失，进而无法撤销，建议升级版本
50,230720-00002490,2023-07-20 17:18:26,【东莞市皖太电子科技有限公司】用户使用新版财务，在【应付管理】中，付款单列表，从列表中进行自动核销，付款核销单中单据会变成已废弃状态，从付款单详情中查看单据状态是未开始状态，从付款核销单中查看单据刷新偶尔会变成已完成状态，但是仍旧有很多已废弃单据，麻烦查看下是哪里的问题呢，付款单：00000039，付款核销单：00000024（一开始作废状态，刷新后完成状态）、00000018（核销作废状态）,SaaS,E,致命,紧急,财务,其他,付款单审核通过触发自动核销&点击『自动核销按钮』触发自动核销的工作流都失败了，原因是『核销金额』不可大于『未核销金额』。由于工作流是异步的，所以失败了用户也无感知。这个部分需要优化
51,230720-00002488,2023-07-20 16:43:41,【宁波海子卫浴用品有限公司】用户创建了一个订单发货的审核流，但是触发不了财务审核的流程，销售单号：23052202,SaaS,CorePaaS,严重,高,订单,设计问题,创建人不支持配置，创建人是个map，配置的定值是不生效的，
52,230720-00002483,2023-07-20 16:28:06,【河北千木】标准应付单生成付款单，付款结束后，标准应付单据上的付款状态字段未更新，仍然是未付款,SaaS,E,严重,紧急,财务,数据清理,"CPS的工作流没有顺序执行，用户创建付款单后立刻审核通过，系统推送了2个修改应付单金额和状态的webhook，来源分别是1：创建付款单，2：创建核销单。第2个webhook的消费速度比第1个快，导致该应付单先被更新为『已付款』，后又被更新为『未付款"
53,230720-00002481,2023-07-20 15:41:21,【恒冠】-计划-分配占用表（新）-弱占用-点击清空，提示失败，如截图所示,SaaS,M,致命,紧急,主生产计划,重复发现,重复bug，请关注此单据进度：https://c2.xinheyun.com/metadata/business-detail/template_b70Q0?id=64b7ce1034071849c6ecf2cb
54,230720-00002479,2023-07-20 15:29:42,【石家庄天人农业机械装备有限公司】用户导出计件单价报错，麻烦查看下是哪里的问题呢,SaaS,M,严重,紧急,生产管理,环境运维,manufacture中的dfs版本未升级为nacos改造后的版本导致。但是也不好升级了，只能手动改为url调用，不能直接jar方法调用。
55,230720-00002472,2023-07-20 13:55:08,【精卓阀门】订单生产进度报表计算异常,SaaS,E,严重,高,CoreBI,代码错误,订单驳回日志处理异常
56,230720-00002471,2023-07-20 13:15:49,【金华电气】订单：JH20230523003，中发货单：I-230528-001显示待提交状态，但是发货单详情显示已完成状态，已完成发货，为什么再订单详情查看发货单状态是待提交，是撤回过状态嘛,SaaS,E,致命,紧急,发货单,无法复现,5.28日上午cps审核流异常导致
57,230720-00002468,2023-07-20 11:50:19,【精诚不锈钢】-生产单打印流转卡，筛选【实际生产数量】或者【打印状态】均报错提示“系统开小差”,SaaS,前端,致命,紧急,生产管理,代码错误,table 替换引入的，前端代码问题
58,230720-00002464,2023-07-20 10:54:05,【江西光益减震系统有限公司】用户收料检验单：IQC-230705-005，物料： M-原材料-00063，处于检验中状态：但是物料已经检验完成了，查看APP端是有检验结果未确认，点击确认，会返回到上一层检验记录处，但是检验结果依旧是未确认状态，麻烦查看下是哪里问题呢,SaaS,E,严重,紧急,来料检验,无法复现,未复现
59,230720-00002462,2023-07-20 10:29:35,【安徽省富光实业股份有限公司-塑胶事业部】-计件工资报表（新）无法导出，未使用全局导出按钮，点击的下载标识，大概有二三十分钟,SaaS,CoreBI,致命,紧急,生产管理,代码错误,旧版CoreBI服务没有做删除nacos，导致请求其他服务时，请求不到
60,230720-00002461,2023-07-20 10:24:35,【南京川木】标准应收单导出报错,SaaS,E,一般,中,财务,无法复现,库存会调用CPS接口，调用CPS接口耗时较久
61,230720-00002458,2023-07-20 09:40:57,"【跃丰阀门制造有限公司】用户订单：YF2305025，下达物料需求计划是不合并下达的物料：F-M-SM-00139，物料计划设置中分配规则也是按单，①采购单50252023052904（石墨）中物料YF-M-SM-00139未分配给本身的订单YF2305025,，②0级物料分配的在制品生产单中，物料比例与实际已下达比例一致",SaaS,M,严重,紧急,生产管理,代码错误,MRP下达后的供应，占用类型给定逻辑错误
62,230720-00002457,2023-07-20 09:17:46,【海德鲁】异常事件单号：23072000001537 、23072000001536、 23072000001535，待响应状态，未显示维修单号，在设备维修任务没有此任务,SaaS,CorePaaS,致命,紧急,设备管理,脏数据处理,719修复海德鲁数据，忘记启用设备响应内修工作流导致工作流未触发
63,230720-00002456,2023-07-20 08:54:42,【南京川木】物料通过提示单据未提交,SaaS,CorePaaS,一般,中,X,重复发现,重复问题
64,230720-00002455,2023-07-20 08:52:19,【新星船舶】【汽车水箱】【君创】【五荣五金】【简诺】-订单和采购单审核提示系统开小差,SaaS,CorePaaS,致命,紧急,订单,重复发现,重复问题，研发修改BUG影响到了
65,230720-00002454,2023-07-20 08:50:30,【兴顺】订单通过提示单据完成审核,SaaS,CorePaaS,一般,中,订单,代码错误,开发修改代码影响到领域审核流。
66,230719-00002451,2023-07-19 19:50:40,【四川羽佳模塑有限公司】清空分配占用表提示失败,SaaS,M,致命,紧急,MRP,代码错误,占用数被扣减为负数；
67,230719-00002449,2023-07-19 18:41:56,【清锋科技】-台北登录不上，但是用户反馈上周是可以登录的,SaaS,产品组,致命,紧急,日常运维,代码错误,客户wifi 阻止了访问大陆ip
68,230719-00002440,2023-07-19 16:35:41,【苏州金韦尔机械有限公司】库存报表统计中材料入库汇总表加载不出来，报错网关超时request failed with status code 504,SaaS,E,致命,紧急,库存,环境运维,bi数据库负载太高
69,230719-00002437,2023-07-19 15:51:52,【东莞市皖太电子科技有限公司】用户生产单：B-230629-006，做领料出库时，从用料历史记录中查看，每个库存申请单有5个物料，但是从APP端查看领料库存任务是每个任务单有14个物料，,SaaS,移动端,建议,低,生产管理,代码错误,"历史问题，老接口很久没动了，之前的每个batch任务，是通过createTime查询record,但是这样查询条件不能精准查询。"
70,230719-00002435,2023-07-19 15:28:47,【敏驰】【沃冠】【巨将】【伟润锻造】【丰达】【德迈传动】库存任务操作出入库报错,SaaS,M,致命,紧急,库存,发布,亚东的生产入库任务无法出库的问题https://c2.xinheyun.com/metadata/business-detail/template_b70Q0?id=64b74a4bac49136fb613cf83，发布gateway，gateway没有升级bybynacos导致
71,230719-00002434,2023-07-19 14:54:55,【清锋科技】-用户反馈待发货列表提交发货的时候 其收货信息未展示联系方式，需要提交之后才展示，是需要提交需求优化嘛？,SaaS,E,致命,紧急,发货单,代码错误,待发货列表和订单的地址格式化方式不同导致显示不同
72,230719-00002428,2023-07-19 13:47:16,【聂凯星】销售订单23071801里面的两个已经下达过生产单，但是又再次运算出来需要下达，检查了方案配置，在制参与分配，在分配占用表中也查询不到之前下达的生产单的分配信息,SaaS,M,严重,紧急,主生产计划,代码错误,倒冲料计划数小于耗料数，导致差值为负数
73,230719-00002431,2023-07-19 12:33:26,嘉益：设备履历表中，选择设备进入详情，绑定工单栏打开提示系统开小差,私有化,Efficiency,严重,高,设备管理,环境运维,数据库表没有同步
74,230719-00002430,2023-07-19 12:33:01,【溢达】-销售订单导入，选择新建物料，物料属性填写，半成品，但是导入新建物料后查看物料属性为产品，已在测试系统复现,SaaS,E,致命,紧急,订单,代码错误,原代码逻辑，物料属性默认写为【产品】
75,230719-00002426,2023-07-19 11:41:51,【上海晓奥汽车有限公司】生产模块-基础数据管理-删除标准工序时提示服务器开小差,SaaS,M,严重,紧急,生产管理,环境运维,"app-basedata引入的domain-manufactrure-api的jar版本不对，feign接口不是摘除nacos后的url,导致请求domain-manufacture失败。"
76,230719-00002425,2023-07-19 11:27:06,【君创】mrp计算异常,SaaS,M,严重,中,MRP,并发,"MRP数据准备，并发创建SKU时，调用E组接口，会报 ""不允许多人同时创建同一个物料的SKU,请稍后再试""。需要等E组优化发布后再试一下，如果还不行就暂时改为同步准备。"
77,230719-00002422,2023-07-19 10:39:18,【福特斯】-物料需求计划（新）运行报错，如截图所示,SaaS,M,致命,紧急,主生产计划,并发,并发问题，加锁解决
78,230719-00002421,2023-07-19 10:28:27,【亚东】库存任务-生产入库，操作入库提示：0条成功，1条失败是什么原因，比如生产单号：B-230630-004,SaaS,M,致命,紧急,库存,环境运维,客户开启立库，库存操作立库时会通过gateway先转发到openApi，再执行后续操作，目前问题是因为nacos被移除但gateway转发openApi的地方没做修改，导致转发失败
79,230719-00002418,2023-07-19 10:08:47,【红旗】用户进行批量报工，报工之后会有提示：7条记录报工不成功，，查看原因，显示系统繁忙，请稍后重试，麻烦查看下是哪里的问题呢（查看用户生产单已经报工）,SaaS,M,严重,紧急,生产管理,发布,早上发其他bug，服务不稳定导致，目前正常
80,230719-00002417,2023-07-19 09:53:57,【亚通】设备点检任务无法处理,SaaS,CorePaaS,严重,高,设备管理,代码错误,代码错误。更新数据的接口对复选关联表单进行格式处理的时候，数据类型判断异常，导致数据格式化后为空，数据未更新成功
81,230719-00002416,2023-07-19 09:35:38,【致特森】-设备管理-设备点检-设备日常点检未显示点检人员，但是对应的计划明细显示点检人员，车间收不到任务，帮忙看下什么问题呢,SaaS,CorePaaS,致命,紧急,设备管理,代码错误,代码错误。更新数据的接口对复选关联表单进行格式处理的时候，数据类型判断异常，导致数据格式化后为空，数据未更新成功
82,230719-00002414,2023-07-19 09:26:09,生产单详情中的附件pdf格式无法预览,SaaS,前端,严重,紧急,生产管理,代码错误,组件修改错误
83,230719-00002412,2023-07-19 09:24:40,【海德鲁】-设备维修任务 问题1：显示未开始状态但是没有相关按钮应该怎么继续操作呢？点击编辑按钮字段显示锁的状态 问题2：设备维修人员显示空白，未展示在待我处理列表,SaaS,CorePaaS,致命,紧急,设备管理,代码错误,代码错误。更新数据的接口对复选关联表单进行格式处理的时候，数据类型判断异常，导致数据格式化后为空，数据未更新成功
84,230719-00002411,2023-07-19 08:51:20,【红旗】用户旧版计件工资没有展示数据，全部是0，已经重新计算过了，麻烦查看下是哪里的问题,SaaS,M,致命,紧急,生产管理,环境运维,es超时，修改代码
85,230718-00002402,2023-07-18 15:54:24,【海德鲁】和【海德鲁铝业科技（太仓）有限公司-管业】-看板-设备看板报错且均离线状态,SaaS,M,致命,紧急,看板,环境运维,kafka问题
86,230718-00002400,2023-07-18 15:10:30,【三友控股】用户反馈访问及系统加载缓慢，测试视频已上传，麻烦查看下是哪里的问题,SaaS,E,致命,紧急,订单,环境运维,其他服务影响，目前已恢复
87,230718-00002398,2023-07-18 15:02:35,[安徽威盛]盘点单新增保存不了,SaaS,E,致命,紧急,库存,环境运维,其他服务影响，目前已恢复
88,230718-00002386,2023-07-18 11:05:12,【航磁】高级排产联动调整问题,断网部署,M,致命,紧急,车间计划,代码错误,写倒排需求时，未获取入参中的排产开始时间，导致传参未生效
89,230718-00002383,2023-07-18 11:03:19,【雁南】标准应收单创建发票 销售发票数量跟应收单数量不一致,SaaS,E,严重,高,财务,其他,核销明细中的核销单00000010实际已作废，所以销售发票的核销状态为未核销。这里还有2个问题：1.核销单作废后缺少再次核销的操作按钮；2.已作废的核销明细还会出现在发票中
90,230718-00002381,2023-07-18 10:23:29,【安普勒格】存货核算零成本入库缺少零成本单据,SaaS,E,一般,中,库存,数据清理,出入库历史es价格状态字段22年11月之前无法筛选，客户当前账期在22年10月，所以无法筛选，已重新刷新es数据
91,230718-00002379,2023-07-18 09:56:33,[威盛家具]计件工资导入时物料编码和物料名称都有，导入时显示为空,SaaS,M,严重,高,计件工资,其他,老manufacture项目问题，不支持这种情况
92,230717-00002365,2023-07-17 16:53:54,【烟台艾迪】线上环境，库存冻结显示完成后，进入冻结记录中显示填充冻结物料错误。,断网部署,E,一般,中,库存,数据清理,怀疑清理过数据，但是冻结记录的数据没有清理导致物料查不到
93,230717-00002354,2023-07-17 11:20:20,【上海雁南汽车零部件有限公司】用户从APP【订单】列表处点击更多，进行加入计划，但是到选择物料界面显示的是空白，用户APP版本：5.5.81，测试复现该问题，麻烦查看下，用户账号：维护,SaaS,移动端,严重,紧急,订单,重复发现,该问题在其他需求的测试中已经发现并进行了修改，会在0718进行发布，版本：5.5.82，到时需要更新版本
94,230717-00002353,2023-07-17 11:06:48,【玉环县正大机械】采购退货出库点击无效-重复出现,SaaS,E,一般,中,库存,数据清理,生产库存对账导致数据问题，bug已修复，暂时处理数据
95,230717-00002351,2023-07-17 10:47:31,嘉益：很多的生产单点完工，提示有生产入库任务，但是去到生产入库界面显示没有任务。导致生产单不能完工：,私有化,项目组,致命,紧急,生产管理,代码错误,es问题
96,230717-00002350,2023-07-17 10:09:09,【安徽省广德中鼎汽车工具有限公司】采购单新建界面，物料行在鼠标没有点击的情况下在跳动,SaaS,E,一般,高,采购单,无法复现,物料信息行高抖动。单元格信息过多会撑开行高。无法复现
97,230716-00002349,2023-07-16 21:57:45,【兴顺】生产单订单交期显示无对应销售单有承诺交期,SaaS,E,一般,中,生产管理,代码错误,代码中订单融合接口分页查询参数最大为200
98,230716-00002326,2023-07-16 15:01:17,【兴顺】发货单显示未发，但库存任务中没有找到对应的出库任务,SaaS,E,一般,中,库存,无法复现,合并发货单对应的出入库历史撤销，但是销售出库任务被删除
99,230715-00002320,2023-07-15 17:15:48,【浙江灵腾铸造科技有限公司】进入物料需求计划报错，运行也会报错,SaaS,E,严重,高,车间计划,数据清理,该租户存在交期日期异常的订单
100,230715-00002319,2023-07-15 16:03:28,【晓奥】报工已入库，但系统显示未入库，库存不见了,SaaS,E,一般,中,库存,无法复现,库存已正常
101,230715-00002318,2023-07-15 15:19:56,【红旗仪表】进入新版计件工资报500,SaaS,CorePaaS,严重,中,CoreBI,代码错误,格式问题
102,230714-00002316,2023-07-14 18:18:19,【四川羽佳模塑有限公司】bi报表数据查询报错，数据无法导入，1个半月也查不出来，7个月也查不出来,SaaS,E,严重,紧急,CoreBI,性能问题,优化方案：将报表改造为湖仓ETL离线报表，预计7.18完成。改造之后报表数据每日凌晨更新，即该报表只能查询到当日之前的数据
103,230714-00002315,2023-07-14 17:32:46,【安普勒格】存货核算已经有过数据，想要重新初始化，提示初始化失败,SaaS,E,一般,中,库存,设计问题,存货核算使用中不允许再被初始化，消息模板缺失错误文件，少了错误提示信息
104,230714-00002312,2023-07-14 16:38:25,【正大】采购退货出库-出库点击确认无反应,SaaS,E,一般,中,库存,数据清理,生产库存对账后，报废入库与在职品检验-报废出库执行顺序会错乱，在制品检验-报废出库后将sn业务状态修改为已出库，导致校验sn业务状态时失败
105,230714-00002311,2023-07-14 16:21:44,【永济市凯瑞电气有限公】-采购申请单：  PR-230714-019   物料编码： KRDQ2023078，在采购申请单详情展示物料图，但是在采购申请单列表按物料展示 时物料图未显示，如截图所示,SaaS,E,致命,紧急,采购申请,代码错误,值取错了
